4.31	7.051
5.7	7.051
6.05	7.051
6.55	7.051
6.89	7.051
5.71	7.051
8.108	7.051
8.108	7.051
5.75	7.051
7.18	7.051
7.18	7.051
5.36	7.051
6.68	7.051
5.49	7.051
5.66	7.051
5.9	7.051
7.64	7.051
7.64	7.051
5.88	7.051
6.17	7.051
7.63	7.051
7.35	7.051
6.93	7.051
4.59	7.051
4.59	7.051
5.07	7.051
5.07	7.051
7.76	7.051
3.86	7.051
7.77	7.051
7.70	7.051
7.65	7.051
6.97	7.051
6.97	7.051
6.81	7.051
4.03	7.051
6.31	7.051
6.31	7.051
6.31	7.051
6.31	7.051
6.31	7.051
6.31	7.051
6.37	7.051
7.48	7.051
7.2	7.051
5.08	7.051
5.98	7.051
5.93	7.051
8.14	7.051
6.52	7.051
7.74	7.051
5.61	7.051
6.67	7.051
6.11	7.051
6.74	7.051
4.53	7.051
7.238	7.051
6.32	7.051
8.28	7.051
6.96	7.051
5.77	7.051
8.25	7.051
8.25	7.051
8.25	7.051
5.98	7.051
5.98	7.051
6.43	7.051
5.16	7.051
6.44	7.051
6.70	7.051
6.88	7.051
7.01	7.051
5.65	7.051
5.65	7.051
6.87	7.051
7.45	7.051
7.3	7.051
6.70	7.051
5.48	7.051
6.8	7.051
6.69	7.051
3.03	7.051
6.02	7.051
4.66	7.051
6.28	7.051
4.96	7.051
5.54	7.051
5.54	7.051
5.54	7.051
5.54	7.051
5.54	7.051
6.50	7.051
6.53	7.051
7.42	7.051
5.02	7.051
4.86	7.051
7.74	7.051
7.21	7.051
5.12	7.051
5.12	7.051
5.80	7.051
5.80	7.051
8.28	7.051
6.25	7.051
5.64	7.051
6.09	7.051
7.19	7.051
4.11	7.051
4.4	7.051
7.38	7.051
6.72	7.051
5.51	7.051
5.55	7.051
4.61	7.051
4.61	7.051
4.32	7.051
4.32	7.051
4.32	7.051
5.69	7.051
7.91	7.051
5.99	7.051
4.62	7.051
4.62	7.051
6.32	7.051
5.61	7.051
7.57	7.051
5.599	7.051
7.20	7.051
5.32	7.051
5.91	7.051
5.91	7.051
8.12	7.051
5.24	7.051
7.99	7.051
5.54	7.051
5.96	7.051
5.89	7.051
7.26	7.051
5.70	7.051
6.87	7.051
6.87	7.051
5.62	7.051
4.88	7.051
6.09	7.051
5.005	7.051
5.51	7.051
5.56	7.051
5.40	7.051
5.40	7.051
5.65	7.051
5.43	7.051
5.49	7.051
6.28	7.051
5.016	7.051
6.71	7.051
5.99	7.051
5.99	7.051
5.99	7.051
6.22	7.051
7.25	7.051
6.35	7.051
5.47	7.051
5.83	7.051
8.26	7.051
7.26	7.051
7.68	7.051
6.09	7.051
7.15	7.051
5.55	7.051
5.77	7.051
3.04	7.051
6.94	7.051
5.59	7.051
6.99	7.051
6.28	7.051
6.47	7.051
6.79	7.051
6.79	7.051
6.11	7.051
5.11	7.051
6.29	7.051
6.25	7.051
6.46	7.051
5.29	7.051
6.97	7.051
5.76	7.051
6.82	7.051
6.82	7.051
6.82	7.051
6.49	7.051
6.49	7.051
6.49	7.051
6.49	7.051
5.15	7.051
6.74	7.051
7.02	7.051
7.02	7.051
4.556	7.051
5.60	7.051
6.91	7.051
6.91	7.051
5.18	7.051
7.29	7.051
5.42	7.051
4.705	7.051
4.705	7.051
6.58	7.051
7.71	7.051
7.71	7.051
6.72	7.051
4.99	7.051
4.99	7.051
4.99	7.051
4.99	7.051
4.99	7.051
5.44	7.051
6.52	7.051
6.52	7.051
7.29	7.051
4.81	7.051
4.81	7.051
6.26	7.051
5.613	7.051
5.613	7.051
5.46	7.051
6.89	7.051
6.89	7.051
6.04	7.051
5.46	7.051
5.54	7.051
5.54	7.051
5.87	7.051
5.87	7.051
7.09	7.051
7.09	7.051
6.72	7.051
6.04	7.051
6.76	7.051
6.76	7.051
5.30	7.051
5.30	7.051
5.30	7.051
6.651	7.051
6.12	7.051
6.99	7.051
6.99	7.051
6.99	7.051
4.58	7.051
4.58	7.051
7.19	7.051
6.26	7.051
6.11	7.051
6.11	7.051
6.68	7.051
5.63	7.051
6.05	7.051
6.56	7.051
4.49	7.051
6.32	7.051
6.71	7.051
6.71	7.051
7.16	7.051
7.16	7.051
7.16	7.051
4.902	7.051
6.09	7.051
6.893	7.051
5.70	7.051
4.72	7.051
7.32	7.051
6.59	7.051
7.051	7.051
7.051	7.051
7.051	7.051
7.54	7.051
7.61	7.051
7.61	7.051
4.464	7.051
6.26	7.051
6.26	7.051
7.495	7.051
5.551	7.051
7.83	7.051
5.463	7.051
